directory,scl_file,notes,period,just,limit,description,tones,reference
mailing-lists,met24-parapyth17-fokker_g.scl,17,1200.0,False,0,MET-24 parapyth for Keenan Pepper's JI block; key 14 like pipedum_17c.scl,57.42187 125.39062 207.42187 264.84375 345.70312 414.84375 472.26562 553.12500 622.26562 703.12499 760.54687 842.57812 910.54687 967.96875 1050.00000 1117.96875 2/1,https://yahootuninggroupsultimatebackup.github.io/tuning/topicId_105023.html#105143
mailing-lists,met24-semineutral17_F#.scl,17,1200.0,False,0,17-CS semineutral sixth from two large major thirds (~63:81:104),57.42187 139.45313 207.42187 264.84375 370.31250 427.73437 496.87500 577.73438 635.15625 704.29687 761.71875 867.18750 924.60937 992.57812 1074.60937 1132.03125 2/1,https://yahootuninggroupsultimatebackup.github.io/tuning/topicId_105687.html#105687
mailing-lists,met24-wilson_rast-bayyati17_Dup.scl,17,1200.0,False,0,Tempering of Wilson's Rast-Bayyati Matrix (17),82.03125 150.00000 207.42188 289.45313 357.42188 439.45313 496.87500 564.84375 646.87500 704.29688 785.15625 854.29688 911.71875 992.57813 1061.71875 1142.57812 2/1,https://yahootuninggroupsultimatebackup.github.io/tuning/topicId_101815.html#101816
mailing-lists,mostly-elevens-scale-tempered-to-72-EDO.scl,17,1200.0,False,0,,50.00000 150.00000 216.66700 283.33300 350.00000 416.66700 500.00000 583.33300 650.00000 700.00000 783.33300 850.00000 916.66700 1000.00000 1050.00000 1116.66700 1200.00000,https://yahootuninggroupsultimatebackup.github.io/makemicromusic/topicId_28151.html#28151
mailing-lists,murat17.scl,17,1200.0,False,0,Murat[17] with 16/55 generator,43.636364 152.727273 196.363636 305.454545 349.090909 392.727273 501.818182 545.454545 654.545455 698.181818 807.272727 850.909091 894.545455 1003.636364 1047.272727 1156.363636 1200.000000,https://yahootuninggroupsultimatebackup.github.io/tuning/topicId_70676.html#70795
mailing-lists,neogw17a.scl,17,1200.0,False,0,"Neo-Gothic well-temperament (14:11, 9:7 hypermeantone fifths)",126/121 130.638937  208.753982  286.869027  343.786952  14/11 495.623009  561.329000  626.261946  704.376991  778.871047  196/121 913.130973  991.246018  1052.557976  1121.884955  2/1,https://yahootuninggroupsultimatebackup.github.io/tuning/topicId_12432.html#12432
mailing-lists,o3-parapyth17_g.scl,17,1200.0,False,0,"O3 parapyth17 for Fokker block, key 14 like pipedum_17c.scl",57.42188 127.73437 208.59375 266.01563 346.87501 416.01563 473.43751 554.29688 623.43750 704.29688 761.71876 842.57813 911.71875 969.14063 1050.00000 1119.14063 2/1,https://yahootuninggroupsultimatebackup.github.io/tuning/topicId_105023.html#105143
mailing-lists,peppermint-parapyth17_g.scl,17,1200.0,False,0,Peppermint parapyth17 from Fokker block; key 14 like pipedum_17c.scl,58.67969 128.66924 208.19121 266.87091 346.39287 416.38243 475.06212 554.58409 624.57364 704.09561 762.77530 842.29727 912.28682 970.96651 1050.48848 1120.47803 2/1,https://yahootuninggroupsultimatebackup.github.io/tuning/topicId_105023.html#105143
mailing-lists,pluto17.scl,17,1200.0,False,0,,29.75207 59.50413 89.25620 119.00826 495.86777 525.61983 555.37190 585.12397 614.87603 644.62810 674.38017 704.13223 1080.99174 1110.74380 1140.49587 1170.24793 2/1,https://yahootuninggroupsultimatebackup.github.io/tuning-math/topicId_18465.html#18467
mailing-lists,pyclesfip17.scl,17,1200.0,False,0,9-limit 15 cent lesfip derived from Pycnic[17],66.73123 130.99360 190.93224 261.57168 321.51031 385.77268 452.50392 571.99486 629.68133 695.44810 764.80077 826.25196 887.70314 957.05582 1022.82259 1080.50906 1200.00000,https://yahootuninggroupsultimatebackup.github.io/tuning/topicId_103545.html#103545
mailing-lists,schisynch17.scl,17,1200.0,False,0,Schismatic[17] in synch (brat=-1) tuning,91.360882 182.721764 203.455647 294.816529 386.177411 406.911294 498.272176 589.633058 680.993940 701.727824 793.088706 884.449587 905.183471 996.544353 1087.905235 1108.639118 1200.000000,https://yahootuninggroupsultimatebackup.github.io/tuning-math/topicId_12860.html#12860
mailing-lists,secor.scl,17,1200.0,False,0,George Secor's well temperament with 5 pure 11/7 and 3 near just 11/6  ,66.7425 144.855 214.440 278.340 353.610 428.880 492.780 562.365 640.4775 707.220 771.120 849.2325 921.660 985.560 1057.9875 1136.10 2/1,https://yahootuninggroupsultimatebackup.github.io/makemicromusic/topicId_1079.html#1079
mailing-lists,secor17w.scl,17,1200.0,False,0,"George Secor's well temperament, fifths at (1936:49)^(1/9) and (56:11)^(1/4)",66.741199 144.856244 214.440905 278.338643 353.610226 428.881810 492.779548 562.364208 640.479253 707.220452 771.118190 849.233235 921.661357 985.559095 1057.987217 1136.102262 2/1,https://yahootuninggroupsultimatebackup.github.io/tuning/topicId_78391.html#78490
mailing-lists,secor41htt-parapyth17.scl,17,1200.0,False,0,"George Secor's 41-HTT, parapyth17 for Fokker block, key 14 like pipedum17_c.scl",58.08980 125.05086 207.15739 265.24719 347.35372 414.31478 472.40458 554.51111 621.47217 703.57870 761.66850 843.77503 910.73608 968.82588 1050.93241 1117.89347 2/1,https://yahootuninggroupsultimatebackup.github.io/tuning/topicId_105023.html#105143
mailing-lists,semineutral_36-ED2.scl,17,1200.0,False,0,"Semineutral tuning in 36-EDO, 0-433.33-866.67 cents",66.66667 133.33333 200.00000 266.66667 366.66666 433.33333 500.00000 566.66667 633.33333 700.00000 766.66667 866.66667 933.33333 1000.00000 1066.66667 1133.33333 2/1,https://yahootuninggroupsultimatebackup.github.io/tuning/topicId_105687.html#105687
mailing-lists,shur17.scl,17,1200.0,False,0,Peppermint 17-note thirdtone set for Persian dastgah-ha,69.98955 128.66924 208.19121 287.71318 357.70273 416.38243 495.90439 565.89395 624.57364 704.09561 774.08516 832.76485 912.28682 991.80879 1061.79834 1120.47803 2/1,https://yahootuninggroupsultimatebackup.github.io/makemicromusic/topicId_14280.html#14280
mailing-lists,turquoise17-104ed2.scl,17,1200.0,False,0,"Turquoise 17 in 104-tET/ED2, ~33:36:39:42:44 at steps 0 7 10",69.23077 150.00000 207.69231 288.46154 357.69231 415.38462 496.15385 565.38462 646.15385 703.84616 784.61539 853.84616 911.53846 992.30769 1061.53846 1119.23077 2/1,https://yahootuninggroupsultimatebackup.github.io/tuning/topicId_100839.html#100880
mailing-lists,turquoise17.scl,17,1200.0,False,0,"Turquoise 17, 1024-ED2: ~33:36:39:42:44 at steps 0, 7, 10",70.31249 151.17187 208.59375 289.45313 358.59375 416.01563 496.87500 566.01562 646.87500 704.29688 785.15625 854.29687 911.71875 992.57812 1061.71875 1119.14063 2/1,https://yahootuninggroupsultimatebackup.github.io/tuning/topicId_100839.html#100839
mailing-lists,wellfip17.scl,17,1200.0,False,0,"17-note lesfip scale, 11-limit diamond target, 8.6 to 10.8 cents tolerance",88.53133 147.91505 205.23945 292.78417 381.10837 438.83496 497.46008 586.04341 644.66854 702.39512 790.71932 878.26405 935.58845 994.97216 1083.50349 1141.75175 1200.00000,https://yahootuninggroupsultimatebackup.github.io/tuning/topicId_102782.html#102782
xenharmonikon,xen18-darreg-djami-17.scl,17,1200.0,False,0,Seventeen-tone system,90.0 180.0 204.0 294.0 384.0 408.0 498.0 588.0 678.0 702.0 792.0 882.0 906.0 996.0 1086.0 1176.0 1200.0,"Ivor Darreg, Abdurakhman Djami's ""Treatise on Music"", translated from the Russian by Ivor Darreg, Xenharmonikon 18 (2006), p.228"
xenharmonikon,xen18-schulter-707-17.scl,17,1200.0,False,0,Temperament with fifth of 707.22045,63.89775 150.54315 214.4409 278.33865 364.98405 428.8818 492.77955 556.6773 643.3227 707.22045 771.1182 857.7636 921.66135 985.5591 1072.2045 1136.10225 1200.0,"Margo Schulter, George Secor's 17-Tone Well-Temperament and Neo-Medieval Music, Xenharmonikon 18 (2006), p.90"
xenharmonikon,xen18-schulter-archytan-1-2-17.scl,17,1200.0,False,0,1/2-Archytan temperament,22.064766 209.109327 231.174094 253.23886 440.283421 462.348187 484.412953 506.477719 693.522281 715.587047 737.651813 924.696374 946.76114 968.825906 1155.870468 1177.935234 1200.0,"Margo Schulter, George Secor's 17-Tone Well-Temperament and Neo-Medieval Music, Xenharmonikon 18 (2006), p.88"
